sections,schools,distance
7760745349,3762485521,3249.8648
6229421959,3762485521,1478.6608
418495946,1143743478,2819.5
1487935025,1143743478,1150.3584000000003
1936301455,1143743478,2158.9496
7117279899,1143743478,1767.8408
3794235136,1143743478,1796.2440000000004
5483069365,1143743478,1158.884
7760745349,1143743478,2477.4416
6229421959,1143743478,1460.0616
418495946,421413745,2888.9032
1487935025,421413745,654.7496
1936301455,421413745,1932.3576
7117279899,421413745,1523.3032
3794235136,421413745,1381.0712
5483069365,421413745,1402.1992
7760745349,421413745,1932.2976000000003
6229421959,421413745,1057.3000000000002
418495946,4463732096,3258.6184000000003
1487935025,4463732096,797.7072000000001
1936301455,4463732096,2256.1648
7117279899,4463732096,1893.0184
3794235136,4463732096,1524.0287999999998
5483069365,4463732096,1508.9224000000002
7760745349,4463732096,2075.2552000000005
6229421959,4463732096,1427.0151999999998
4366529976,3509934637,3159.171200000001
418495946,3509934637,2077.5432
1487935025,3509934637,1889.5216
1936301455,3509934637,2313.9751999999994
7117279899,3509934637,1390.9432
3794235136,3509934637,2270.632
5483069365,3509934637,1216.9616
7760745349,3509934637,2902.7008
6229421959,3509934637,1687.3408
418495946,5882276071,359.6016
1487935025,5882276071,2795.408
1936301455,5882276071,3219.8615999999997
7117279899,5882276071,2296.8296
3794235136,5882276071,3176.5184
5483069365,5882276071,2122.848
6229421959,5882276071,2593.2272
4366529976,893159329,3562.661600000001
418495946,893159329,2107.1536
1487935025,893159329,1919.132
1936301455,893159329,2343.5855999999994
7117279899,893159329,1420.5536
3794235136,893159329,2300.2424
5483069365,893159329,1246.572
7760745349,893159329,3197.88
6229421959,893159329,1716.9512
4366529976,5171694349,3233.188
418495946,5171694349,2596.9792000000007
1487935025,5171694349,1606.6167999999998
1936301455,5171694349,2650.9360000000006
7117279899,5171694349,1882.4344000000003
3794235136,5171694349,2332.938399999999
5483069365,5171694349,1268.54
7760745349,5171694349,2750.6496
6229421959,5171694349,2049.7119999999995
418495946,1523935274,626.3152
1487935025,1523935274,2544.5384000000004
1936301455,1523935274,2968.992
7117279899,1523935274,2045.96
3794235136,1523935274,2925.6488
5483069365,1523935274,1871.9784
6229421959,1523935274,2342.3576000000003
4366529976,5320068308,3598.749600000001
418495946,5320068308,1955.2576
1487935025,5320068308,2317.448
1936301455,5320068308,2741.9015999999992
7117279899,5320068308,1818.8695999999995
3794235136,5320068308,2698.5584
5483069365,5320068308,1644.888
7760745349,5320068308,3375.2312000000006
6229421959,5320068308,2115.2672
418495946,5435837964,629.0432000000001
1487935025,5435837964,3397.152
7117279899,5435837964,2898.5736
5483069365,5435837964,2724.592
6229421959,5435837964,3194.9712
4366529976,5604088061,3000.508800000001
418495946,5604088061,2431.972
1487935025,5604088061,1906.9896
1936301455,5604088061,2668.4039999999995
7117279899,5604088061,1745.3719999999998
3794235136,5604088061,2625.0608
5483069365,5604088061,1571.3904000000002
7760745349,5604088061,2721.4911999999995
6229421959,5604088061,2041.7696
418495946,10606251456,1970.7592
4366529976,5473307794,3238.7968
418495946,5473307794,2546.7336
1487935025,5473307794,1673.3919999999998
1936301455,5473307794,2683.6200000000003
7117279899,5473307794,1860.1336
3794235136,5473307794,2399.713599999999
5483069365,5473307794,1301.2240000000002
7760745349,5473307794,2756.2584
6229421959,5473307794,2082.396
4366529976,7973331444,3196.806399999998
1487935025,7973331444,1656.1568000000002
1936301455,7973331444,3519.2984
7117279899,7973331444,3110.244
3794235136,7973331444,1971.884
5483069365,7973331444,2989.1400000000003
7760745349,7973331444,793.5944000000002
6229421959,7973331444,2463.4464000000007
4366529976,9868047450,3001.7712000000006
418495946,9868047450,3112.5664
1936301455,9868047450,3143.0247999999992
7117279899,9868047450,2425.966399999999
3794235136,9868047450,2138.1183999999994
5483069365,9868047450,1968.1200000000003
7760745349,9868047450,2029.5536
6229421959,9868047450,2259.3063999999995
4366529976,7410087741,3253.859200000001
418495946,7410087741,3364.6543999999994
1487935025,7410087741,1501.5592
1936301455,7410087741,3292.3392
7117279899,7410087741,2678.054399999999
3794235136,7410087741,2227.8807999999995
5483069365,7410087741,2332.8616
7760745349,7410087741,1929.1376000000005
6229421959,7410087741,2349.0688
4366529976,3823436363,3396.974399999998
1487935025,3823436363,993.0968
1936301455,3823436363,2814.0200000000004
7117279899,3823436363,2404.9656000000004
3794235136,3823436363,1495.4231999999995
5483069365,3823436363,2283.8616000000006
7760745349,3823436363,1276.5728000000004
6229421959,3823436363,1801.9656
4366529976,2859686507,2748.4704
418495946,2859686507,2859.2656
1487935025,2859686507,1631.5711999999996
1936301455,2859686507,3095.6975999999995
7117279899,2859686507,2172.6656
3794235136,2859686507,2357.8927999999987
5483069365,2859686507,1931.3176000000003
7760745349,2859686507,2272.2288000000003
6229421959,2859686507,2422.3832
418495946,7538334341,3340.616
1487935025,7538334341,889.4504000000001
1936301455,7538334341,2293.4424
7117279899,7538334341,1975.016
3794235136,7538334341,73.884
5483069365,7538334341,1853.912
7760745349,7538334341,1728.0024
6229421959,7538334341,768.0968
418495946,1487935003,2973.8312000000005
1936301455,1487935003,2020.5751999999995
7117279899,1487935003,1608.2312000000002
3794235136,1487935003,669.0600000000001
5483069365,1487935003,1487.1272
7760745349,1487935003,1708.6904000000004
6229421959,1487935003,676.4975999999999
1487935025,419054626,1453.2128
1936301455,419054626,3383.012
7117279899,419054626,3054.8384
3794235136,419054626,1079.0616
5483069365,419054626,2933.7344000000003
7760745349,419054626,1046.9600000000005
6229421959,419054626,1857.6664
1487935025,8869531225,960.9144
1936301455,8869531225,2711.0704
7117279899,8869531225,2392.644
3794235136,8869531225,407.12
5483069365,8869531225,2271.54
7760745349,8869531225,1292.1608
6229421959,8869531225,1185.7248
1487935025,9846328375,1445.1351999999997
1936301455,9846328375,3262.2944
7117279899,9846328375,2943.8680000000004
3794235136,9846328375,947.6952
5483069365,9846328375,2822.7640000000006
7760745349,9846328375,1421.9224
6229421959,9846328375,1736.9488
418495946,418227433,3377.1264
1936301455,418227433,2423.8704
7117279899,418227433,2011.5264
3794235136,418227433,522.1272000000001
5483069365,418227433,1890.4224
7760745349,418227433,1605.6904000000004
6229421959,418227433,1014.4255999999998
418495946,418225956,3329.8512
1936301455,418225956,2376.5952
7117279899,418225956,1964.2512
3794235136,418225956,649.84
5483069365,418225956,1843.1472
7760745349,418225956,1443.1344
6229421959,418225956,981.3712
418495946,1487935142,3550.2032
1487935025,1487935142,582.9775999999999
1936301455,1487935142,2596.9472
7117279899,1487935142,2184.6032
3794235136,1487935142,876.1423999999998
5483069365,1487935142,2063.4992
7760745349,1487935142,1201.9232000000004
6229421959,1487935142,1201.7232
418495946,9160435017,3550.896
1936301455,9160435017,2597.6400000000003
7117279899,9160435017,2185.296
3794235136,9160435017,613.1623999999999
5483069365,9160435017,2064.192
7760745349,9160435017,1285.2584000000004
6229421959,9160435017,1202.416
1487935025,316869070,2319.9783999999995
3794235136,316869070,2302.215200000001
7760745349,316869070,659.408
6229421959,316869070,2975.2152
1487935025,6596889199,2521.9528
3794235136,6596889199,2448.9624000000003
7760745349,6596889199,848.0512000000001
6229421959,6596889199,3163.8584
1487935025,7444555929,2067.2184
7117279899,7444555929,3567.6712
3794235136,7444555929,2237.6328000000003
5483069365,7444555929,3446.5671999999995
7760745349,7444555929,841.3359999999999
6229421959,7444555929,2768.4088
1487935025,1279304036,2409.3672
3794235136,1279304036,2545.7184
7760745349,1279304036,1146.9632
6229421959,1279304036,3076.4944000000005
1487935025,5187099142,2092.2775999999994
1936301455,5187099142,3098.2648
7117279899,5187099142,2827.7608
3794235136,5187099142,1276.7111999999995
5483069365,5187099142,2706.6568
7760745349,5187099142,2841.0600000000004
6229421959,5187099142,1445.6464
1487935025,8630017928,2423.168
7117279899,8630017928,3524.7408
3794235136,8630017928,1607.6015999999995
5483069365,8630017928,3403.6367999999998
7760745349,8630017928,2576.732
6229421959,8630017928,2142.626400000001
418495946,1143496279,2714.5736000000006
1487935025,1143496279,1240.1504000000004
1936301455,1143496279,2105.5256
7117279899,1143496279,1569.4624000000003
3794235136,1143496279,1886.0360000000005
5483069365,1143496279,955.9928
7760745349,1143496279,2662.9024
6229421959,1143496279,1549.8536000000004
3794235136,6171350513,3569.8432000000003
6229421959,6171350513,3556.3952
418495946,419656038,2309.5840000000003
1487935025,419656038,990.8263999999996
1936301455,419656038,1129.5743999999995
7117279899,419656038,943.984
3794235136,419656038,1330.6232
5483069365,419656038,822.8799999999999
7760745349,419656038,2559.8496
6229421959,419656038,747.3320000000001
1487935025,5424496833,3549.28
3794235136,5424496833,2733.7136
6229421959,5424496833,2831.6512
4366529976,5375925793,3532.0776
418495946,5375925793,1929.4888
1487935025,5375925793,3321.4408000000003
7117279899,5375925793,2822.8624
5483069365,5375925793,2648.8808
6229421959,5375925793,3119.26
418495946,2061279997,2903.0848
418495946,3161930012,2818.6744
418495946,10753601710,1564.0816
418495946,5692747186,1663.9951999999998
418495946,5375965560,1976.1552
1487935025,5375965560,3368.1072
7117279899,5375965560,2869.5288
5483069365,5375965560,2695.5472
6229421959,5375965560,3165.9264000000003
